value,text
0,输！你可能连酱1都打不了，你可能只能打酱0。
1,可以打酱1了。
2,可以打酱1了。
3,可以打酱1了。
4,可以打酱1了。
5,可以打酱1了。
6,可以打酱1了。
7,可以打酱1了。
8,可以打酱1了。
9,可以打酱1了。
10,可以打酱1了。
11,可以打酱1了。而且还可以银酱1的图？
12,可以打酱1了。而且还可以银酱1的图？
13,可以打酱1了。而且还可以银酱1的图？
14,可以打酱1了。而且还可以银酱1的图？
15,可以打酱1了。而且还可以银酱1的图？
16,可以打酱3了。是不是可以银酱3的某张图？
17,可以打酱1了。而且还可以银酱1的图？
18,可以打酱1了。而且还可以银酱1的图？
19,可以打酱1了。而且还可以银酱1的图？
20,可以打酱1了。而且还可以银酱1的图？
21,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
22,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
23,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
24,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
25,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
26,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
27,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
28,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
29,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
30,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
31,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
32,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
33,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
34,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
35,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
36,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
37,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
38,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
39,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
40,嗯，这个数字还不错，不算太差，也不算太好，中等偏下吧。去打已经打过的图吧。
41,四十多，也还行吧，不算特别出色，但也不算糟糕，中规中矩。可以打打新图。
42,四十多，也还行吧，不算特别出色，但也不算糟糕，中规中矩。可以打打新图。
43,四十多，也还行吧，不算特别出色，但也不算糟糕，中规中矩。可以打打新图。
44,四十多，也还行吧，不算特别出色，但也不算糟糕，中规中矩。可以打打新图。
45,四十多，也还行吧，不算特别出色，但也不算糟糕，中规中矩。可以打打新图。
46,四十多，也还行吧，不算特别出色，但也不算糟糕，中规中矩。可以打打新图。
47,四十多，也还行吧，不算特别出色，但也不算糟糕，中规中矩。可以打打新图。
48,四十多，也还行吧，不算特别出色，但也不算糟糕，中规中矩。可以打打新图。
49,四十多，也还行吧，不算特别出色，但也不算糟糕，中规中矩。可以打打新图。
50,四十多，也还行吧，不算特别出色，但也不算糟糕，中规中矩。可以打打新图。
51,抽到五十多了，算是中间值吧，不好不坏。去bet2可能胜率一半一半
52,抽到五十多了，算是中间值吧，不好不坏。去bet2可能胜率一半一半
53,抽到五十多了，算是中间值吧，不好不坏。去bet2可能胜率一半一半
54,抽到五十多了，算是中间值吧，不好不坏。去bet2可能胜率一半一半
55,抽到五十多了，算是中间值吧，不好不坏。去bet2可能胜率一半一半
