id,stonename,level,tempurature,activity,storage
1019276364,水晶聚合物,2.0,560.9,32.0,燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|废料|水晶聚合物+10|水晶聚合物+10|废料|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|水晶聚合物+10
3887046514,无,0.0,27.0,0.0,燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶
3590665831,无,0.0,27.0,0.0,燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶
2736989499,无,0.0,27.0,0.0,可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料
1359007186,无,0.0,27.0,0.0,可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶
2539562201,无,0.0,27.0,0.0,可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶
2254188359,无,0.0,27.0,0.0,燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料
121096913,无,0.0,27.0,0.0,燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶
993439656,无,0.0,27.0,0.0,可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶
2141995199,无,0.0,27.0,0.0,燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶
632704079,无,0.0,27.0,0.0,可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料|燃料
2682786816,无,0.0,27.0,0.0,可加工水晶|可加工水晶|可加工水晶|可加工水晶|可加工水晶
